"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
2.0,1.0,18376.57730278113,44668.364363396126,181.25417240932882,7493.756604894036,188.51464451340098,26.545032711286183,197.12967404593576,5.713920383943264
3.0,1.0,18528.25572028161,40646.470052136385,161.32915067618737,7350.633565536335,198.4347055754444,40.87267301617464,355.5549502650524,6.868864079825729
4.0,1.0,18701.30734165701,36619.7312825161,186.55594928240907,7807.900727603162,175.39016662905541,25.59871450084279,188.92807902580898,5.624037869175516
5.0,1.0,18863.483391260772,32608.4318063425,158.04147320436005,7842.615953163806,193.58651550905117,40.73320700377925,359.34374902131856,6.186173937345826
6.0,1.0,19026.50325346597,28580.627969559795,179.27611845157867,7152.366525871617,174.5481054567247,25.03912134901902,189.21639266044247,5.561490356685356
7.0,1.0,19188.83395217814,24568.297065137096,156.7566977403301,8800.388886593639,193.68545909442548,45.761193283174286,425.0934464404914,6.067827181826224
8.0,1.0,19354.51803953181,20550.1360726453,174.19937639691804,9521.354423147473,181.15152632041782,36.33915482699738,334.3375488400989,5.581555284682769
10.0,1.0,19508.98221060979,16531.880228467475,154.54518192129308,7948.3695388647775,192.3894800520271,39.84816335521575,340.9690926879327,5.7369518382301035
11.0,1.0,19682.03727271807,12516.18260681461,174.2807147540338,8198.43966164564,174.49753336623465,31.084784611774232,266.1880722445729,5.60138380236977
12.0,1.0,19844.83449377425,8521.834253796322,155.61053149062735,7558.988678532157,192.86514766421527,41.65650790057775,356.90841271190436,6.35010148794182
13.0,1.0,20010.01750033498,4502.336975394518,180.33735883338363,7437.772040995672,175.98431259095784,26.911500876938415,204.18883318330842,5.767838389474007
16.0,1.0,22401.48377754727,40792.14612596375,179.75002273079542,7726.070475704716,187.14134194092256,26.65932020108599,210.60393192111468,5.489060206981322
17.0,1.0,22413.890251720586,44830.02814662908,166.33426337128367,7795.903397354376,195.86693814164443,32.23361286019305,255.56801366913584,5.555117546108988
19.0,1.0,22735.95775184674,36785.41998006241,157.1627466749404,6315.443486334425,194.3108951673024,27.584317282900393,198.9572060575596,5.314688022501255
20.0,1.0,22905.070432272965,32769.72519689876,170.7768067450599,6935.013250184337,188.29595899076247,27.149009938989412,217.38778716994372,5.605957739166379
21.0,1.0,23059.446238803623,28754.34709017344,156.00164574967357,7661.089201072876,194.9632958821423,37.95392461639801,311.90598403988656,5.788010678795176
22.0,1.0,23240.947832653044,24733.3040881733,177.98410389490095,7851.687447239055,168.49438492298074,28.742398688567608,272.81886870128733,5.665230903885054
23.0,1.0,23388.376070628114,20726.06757940556,160.8120355294144,5933.474287301907,180.460483308321,28.439456906950962,217.53973539363042,6.036578950201819
24.0,1.0,23566.040226085788,16693.249037169266,158.7312830463439,7131.565227054476,192.54822054990143,29.57977814556646,228.87615390949927,5.134065322264534
25.0,1.0,23727.54547527894,12694.055623568836,153.3319687951587,7279.587673126407,194.06170997778275,37.41254137380486,306.2574953595259,5.804615833194868
